"crash_date","latitude","longitude","collision_id"
2015-12-29,40.6359803,-74.0341456,3362510
2015-12-27,40.6728582,-73.871302,3361417
2015-12-25,40.628039,-74.0065531,3360031
2015-12-28,40.57795,-73.9861,3588724
2015-12-25,40.6930211,-73.9370488,3361467
2015-12-27,40.6411033,-73.9046251,3361375
2015-12-25,40.6693691,-73.895223,3360335
2015-12-30,40.6449096,-73.9219163,3363056
2015-12-26,40.6328477,-73.9283651,3360282
2015-12-26,40.6705818,-73.9309525,3360343
2015-12-26,40.6335298,-73.9520099,3360786
2015-12-27,40.6882902,-73.9390977,3361458
2015-12-27,40.6825939,-73.9626433,3360841
2015-12-28,40.6296472,-74.0106999,3361950
2015-12-27,40.6752603,-73.8820226,3360815
2015-12-28,40.6391716,-73.9160318,3361384
2015-12-26,40.6610826,-73.9080242,3360316
2015-12-30,40.6977362,-73.9609254,3362588
2015-12-25,40.6551851,-73.9998378,3360050
2015-12-25,40.6045404,-73.9874783,3360280
2015-12-29,40.6220219,-73.9872553,3361931
2015-12-31,40.702159,-73.9493782,3363859
2015-12-31,40.6427979,-74.0019602,3363519
2015-12-29,40.6248028,-74.0087178,3361951
2015-12-29,40.6811205,-73.9644216,3362569
2015-12-30,40.613056,-73.917563,3363038
2015-12-27,40.6631828,-73.9624487,3360824
2015-12-29,40.6678494,-73.9940342,3362528
2015-12-25,40.6625746,-73.9344679,3361397
2015-12-28,40.6186338,-73.9800806,3361350
2015-12-31,40.6227987,-74.0283499,3363061
2015-12-28,40.623288,-74.0007529,3361946
2015-12-27,40.64775,-73.906594,3360778
2015-12-28,40.678723,-73.9529869,3362016
2015-12-25,40.6305126,-73.9573008,3360782
2015-12-28,40.6354759,-73.8915579,3361382
2015-12-31,40.5873051,-73.9603492,3363751
2015-12-26,40.7047483,-73.9140305,3361473
2015-12-24,40.6690451,-73.8757721,3359572
2015-12-30,40.6771023,-73.9247844,3362593
2015-12-24,40.6424981,-73.9235659,3360019
2015-12-31,40.7159274,-73.9576249,3363153
2015-12-27,40.6172476,-73.9070977,3361335
2015-12-26,40.7186686,-73.9634925,3360369
2015-12-29,40.629356,-73.9872575,3361928
2015-12-29,40.6527959,-73.9468749,3362500
2015-12-29,40.7192472,-73.9540622,3362614
2015-12-28,40.6711217,-73.9135006,3361413
2015-12-30,40.6650745,-73.9965685,3366679
2015-12-31,40.6720651,-73.990519,3363527
